    //NAME(,AtomicNumber,element,symbol,mass,neutrons,protons,electrons,period,group,phase,radioactive,natural,metal,nonmetal,metalloid,metalGroup,radius,electronegativity,firstIonization,density,meltingPoint,boilingPoint,isotopes,discoverer,Year.of(Year),specificHeat,shells,valence,),,,,,,,,,,,,,,,,,,,,,,
    GA(,31,Gallium,Ga,69.723F,39,31,31,4,13,solid,false,true,true,false,false,Metal,1.8F,1.81F,5.9993F,5.91F,302.91F,2477,14,de Boisbaudran,Year.of(1875),0.371,4,3,),,,,,,,,,,,,,,,,,,,,,,
    GE(,32,Germanium,Ge,72.64F,41,32,32,4,14,solid,false,true,false,false,true,Metalloid,1.5F,2.01F,7.8994F,5.32F,1211.45F,3106,17,Winkler,Year.of(1886),0.32,4,4,),,,,,,,,,,,,,,,,,,,,,,
    AS(,33,Arsenic,As,74.922F,42,33,33,4,15,solid,false,true,false,false,true,Metalloid,1.3F,2.18F,9.7886F,5.78F,1090.15F,887,14,Albertus Magnus,Year.of(1250),0.329,4,5,),,,,,,,,,,,,,,,,,,,,,,
    SE(,34,Selenium,Se,78.96F,45,34,34,4,16,solid,false,true,false,true,false,Nonmetal,1.2F,2.55F,9.7524F,4.81F,494.15F,958,20,Berzelius,Year.of(1817),0.321,4,6,),,,,,,,,,,,,,,,,,,,,,,
    BR(,35,Bromine,Br,79.904F,45,35,35,4,17,liquid,false,true,false,true,false,Halogen,1.1F,2.96F,11.8138F,3.12F,266.05F,332,19,Balard,Year.of(1826),0.474,4,7,),,,,,,,,,,,,,,,,,,,,,,
    KR(,36,Krypton,Kr,83.798F,48,36,36,4,18,gas,false,true,false,true,false,Noble Gas,1F,F,13.9996F,0.00373F,115.93F,119.93,23,Ramsay and Travers,Year.of(1898),0.248,4,8,),,,,,,,,,,,,,,,,,,,,,,
    RB(,37,Rubidium,Rb,85.468F,48,37,37,5,1,solid,false,true,true,false,false,Alkali Metal,3F,0.82F,4.1771F,1.53F,312.79F,961,20,Bunsen and Kirchoff,Year.of(1861),0.363,5,1,),,,,,,,,,,,,,,,,,,,,,,
    SR(,38,Strontium,Sr,87.62F,50,38,38,5,2,solid,false,true,true,false,false,Alkaline Earth Metal,2.5F,0.95F,5.6949F,2.64F,1042.15F,1655,18,Davy,Year.of(1808),0.301,5,2,),,,,,,,,,,,,,,,,,,,,,,
    Y(,39,Yttrium,Y,88.906F,50,39,39,5,3,solid,false,true,true,false,false,Transition Metal,2.3F,1.22F,6.2173F,4.47F,1799.15F,3609,21,Gadolin,Year.of(1794),0.298,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    ZR(,40,Zirconium,Zr,91.224F,51,40,40,5,4,solid,false,true,true,false,false,Transition Metal,2.2F,1.33F,6.6339F,6.51F,2125.15F,4682,20,Klaproth,Year.of(1789),0.278,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    NB(,41,Niobium,Nb,92.906F,52,41,41,5,5,solid,false,true,true,false,false,Transition Metal,2.1F,1.6F,6.7589F,8.57F,2741.15F,5017,24,Hatchett,Year.of(1801),0.265,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    MO(,42,Molybdenum,Mo,95.96F,54,42,42,5,6,solid,false,true,true,false,false,Transition Metal,2F,2.16F,7.0924F,10.2F,2890.15F,4912,20,Scheele,Year.of(1778),0.251,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    TC(,43,Technetium,Tc,98F,55,43,43,5,7,artificial,true,false,true,false,false,Transition Metal,2F,1.9F,7.28F,11.5F,2473.15F,5150,23,Perrier and Segr�\*todo*\,Year.of(1937),-1,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    RU(,44,Ruthenium,Ru,101.07F,57,44,44,5,8,solid,false,true,true,false,false,Transition Metal,1.9F,2.2F,7.3605F,12.4F,2523.15F,4423,16,Klaus,Year.of(1844),0.238,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    RH(,45,Rhodium,Rh,102.906F,58,45,45,5,9,solid,false,true,true,false,false,Transition Metal,1.8F,2.28F,7.4589F,12.4F,2239.15F,3968,20,Wollaston,Year.of(1803),0.243,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    PD(,46,Palladium,Pd,106.42F,60,46,46,5,10,solid,false,true,true,false,false,Transition Metal,1.8F,2.2F,8.3369F,12F,1825.15F,3236,21,Wollaston,Year.of(1803),0.244,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    AG(,47,Silver,Ag,107.868F,61,47,47,5,11,solid,false,true,true,false,false,Transition Metal,1.8F,1.93F,7.5762F,10.5F,1234.15F,2435,27,Prehistoric,Year.of(-1),0.235,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    CD(,48,Cadmium,Cd,112.411F,64,48,48,5,12,solid,false,true,true,false,false,Transition Metal,1.7F,1.69F,8.9938F,8.69F,594.33F,1040,22,Stromeyer,Year.of(1817),0.232,5,-1,),,,,,,,,,,,,,,,,,,,,,,
    IN(,49,Indium,In,114.818F,66,49,49,5,13,solid,false,true,true,false,false,Metal,2F,1.78F,5.7864F,7.31F,429.91F,2345,34,Reich and Richter,Year.of(1863),0.233,5,3,),,,,,,,,,,,,,,,,,,,,,,
    SN(,50,Tin,Sn,118.71F,69,50,50,5,14,solid,false,true,true,false,false,Metal,1.7F,1.96F,7.3439F,7.29F,505.21F,2875,28,Prehistoric,Year.of(-1),0.228,5,4,),,,,,,,,,,,,,,,,,,,,,,
    SB(,51,Antimony,Sb,121.76F,71,51,51,5,15,solid,false,true,false,false,true,Metalloid,1.5F,2.05F,8.6084F,6.69F,904.05F,1860,29,Early historic times,Year.of(1540),0.207,5,5,),,,,,,,,,,,,,,,,,,,,,,
    TE(,52,Tellurium,Te,127.6F,76,52,52,5,16,solid,false,true,false,false,true,Metalloid,1.4F,2.1F,9.0096F,6.23F,722.8F,1261,29,von Reichenstein,Year.of(1782),0.202,5,6,),,,,,,,,,,,,,,,,,,,,,,
